1.png	grinning face	😀️	\U0001F600\U0000FE0F	U+1F600	grinning face
1932.png	woman in steamy room: medium skin tone	🧖🏽‍♀️️	\U0001F9D6\U0001F3FD\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F9D6 U+1F3FD U+200D U+2640 U+FE0F	woman in steamy room: medium skin tone
1933.png	woman in steamy room: medium-dark skin tone	🧖🏾‍♀️️	\U0001F9D6\U0001F3FE\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F9D6 U+1F3FE U+200D U+2640 U+FE0F	woman in steamy room: medium-dark skin tone
1934.png	woman in steamy room: dark skin tone	🧖🏿‍♀️️	\U0001F9D6\U0001F3FF\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F9D6 U+1F3FF U+200D U+2640 U+FE0F	woman in steamy room: dark skin tone
1935.png	person climbing: light skin tone	🧗🏻️	\U0001F9D7\U0001F3FB\U0000FE0F	U+1F9D7 U+1F3FB	person climbing: light skin tone
1936.png	person climbing: medium-light skin tone	🧗🏼️	\U0001F9D7\U0001F3FC\U0000FE0F	U+1F9D7 U+1F3FC	person climbing: medium-light skin tone
1937.png	person climbing: medium skin tone	🧗🏽️	\U0001F9D7\U0001F3FD\U0000FE0F	U+1F9D7 U+1F3FD	person climbing: medium skin tone
1938.png	person climbing: medium-dark skin tone	🧗🏾️	\U0001F9D7\U0001F3FE\U0000FE0F	U+1F9D7 U+1F3FE	person climbing: medium-dark skin tone
1939.png	person climbing: dark skin tone	🧗🏿️	\U0001F9D7\U0001F3FF\U0000FE0F	U+1F9D7 U+1F3FF	person climbing: dark skin tone
1940.png	man climbing: light skin tone	🧗🏻‍♂️️	\U0001F9D7\U0001F3FB\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F9D7 U+1F3FB U+200D U+2642 U+FE0F	man climbing: light skin tone
1941.png	man climbing: medium-light skin tone	🧗🏼‍♂️️	\U0001F9D7\U0001F3FC\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F9D7 U+1F3FC U+200D U+2642 U+FE0F	man climbing: medium-light skin tone
1942.png	man climbing: medium skin tone	🧗🏽‍♂️️	\U0001F9D7\U0001F3FD\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F9D7 U+1F3FD U+200D U+2642 U+FE0F	man climbing: medium skin tone
1943.png	man climbing: medium-dark skin tone	🧗🏾‍♂️️	\U0001F9D7\U0001F3FE\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F9D7 U+1F3FE U+200D U+2642 U+FE0F	man climbing: medium-dark skin tone
1944.png	man climbing: dark skin tone	🧗🏿‍♂️️	\U0001F9D7\U0001F3FF\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F9D7 U+1F3FF U+200D U+2642 U+FE0F	man climbing: dark skin tone
1945.png	woman climbing: light skin tone	🧗🏻‍♀️️	\U0001F9D7\U0001F3FB\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F9D7 U+1F3FB U+200D U+2640 U+FE0F	woman climbing: light skin tone
1946.png	woman climbing: medium-light skin tone	🧗🏼‍♀️️	\U0001F9D7\U0001F3FC\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F9D7 U+1F3FC U+200D U+2640 U+FE0F	woman climbing: medium-light skin tone
1947.png	woman climbing: medium skin tone	🧗🏽‍♀️️	\U0001F9D7\U0001F3FD\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F9D7 U+1F3FD U+200D U+2640 U+FE0F	woman climbing: medium skin tone
1948.png	woman climbing: medium-dark skin tone	🧗🏾‍♀️️	\U0001F9D7\U0001F3FE\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F9D7 U+1F3FE U+200D U+2640 U+FE0F	woman climbing: medium-dark skin tone
1949.png	woman climbing: dark skin tone	🧗🏿‍♀️️	\U0001F9D7\U0001F3FF\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F9D7 U+1F3FF U+200D U+2640 U+FE0F	woman climbing: dark skin tone
1950.png	horse racing: light skin tone	🏇🏻️	\U0001F3C7\U0001F3FB\U0000FE0F	U+1F3C7 U+1F3FB	horse racing: light skin tone
1951.png	horse racing: medium-light skin tone	🏇🏼️	\U0001F3C7\U0001F3FC\U0000FE0F	U+1F3C7 U+1F3FC	horse racing: medium-light skin tone
1952.png	horse racing: medium skin tone	🏇🏽️	\U0001F3C7\U0001F3FD\U0000FE0F	U+1F3C7 U+1F3FD	horse racing: medium skin tone
1953.png	horse racing: medium-dark skin tone	🏇🏾️	\U0001F3C7\U0001F3FE\U0000FE0F	U+1F3C7 U+1F3FE	horse racing: medium-dark skin tone
1954.png	horse racing: dark skin tone	🏇🏿️	\U0001F3C7\U0001F3FF\U0000FE0F	U+1F3C7 U+1F3FF	horse racing: dark skin tone
1955.png	snowboarder: light skin tone	🏂🏻️	\U0001F3C2\U0001F3FB\U0000FE0F	U+1F3C2 U+1F3FB	snowboarder: light skin tone
1956.png	snowboarder: medium-light skin tone	🏂🏼️	\U0001F3C2\U0001F3FC\U0000FE0F	U+1F3C2 U+1F3FC	snowboarder: medium-light skin tone
1957.png	snowboarder: medium skin tone	🏂🏽️	\U0001F3C2\U0001F3FD\U0000FE0F	U+1F3C2 U+1F3FD	snowboarder: medium skin tone
1958.png	snowboarder: medium-dark skin tone	🏂🏾️	\U0001F3C2\U0001F3FE\U0000FE0F	U+1F3C2 U+1F3FE	snowboarder: medium-dark skin tone
1959.png	snowboarder: dark skin tone	🏂🏿️	\U0001F3C2\U0001F3FF\U0000FE0F	U+1F3C2 U+1F3FF	snowboarder: dark skin tone
1960.png	person golfing: light skin tone	🏌🏻️	\U0001F3CC\U0001F3FB\U0000FE0F	U+1F3CC U+1F3FB	person golfing: light skin tone
1961.png	person golfing: medium-light skin tone	🏌🏼️	\U0001F3CC\U0001F3FC\U0000FE0F	U+1F3CC U+1F3FC	person golfing: medium-light skin tone
1962.png	person golfing: medium skin tone	🏌🏽️	\U0001F3CC\U0001F3FD\U0000FE0F	U+1F3CC U+1F3FD	person golfing: medium skin tone
1963.png	person golfing: medium-dark skin tone	🏌🏾️	\U0001F3CC\U0001F3FE\U0000FE0F	U+1F3CC U+1F3FE	person golfing: medium-dark skin tone
1964.png	person golfing: dark skin tone	🏌🏿️	\U0001F3CC\U0001F3FF\U0000FE0F	U+1F3CC U+1F3FF	person golfing: dark skin tone
1965.png	man golfing: light skin tone	🏌🏻‍♂️️	\U0001F3CC\U0001F3FB\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F3CC U+1F3FB U+200D U+2642 U+FE0F	man golfing: light skin tone
1966.png	man golfing: medium-light skin tone	🏌🏼‍♂️️	\U0001F3CC\U0001F3FC\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F3CC U+1F3FC U+200D U+2642 U+FE0F	man golfing: medium-light skin tone
1967.png	man golfing: medium skin tone	🏌🏽‍♂️️	\U0001F3CC\U0001F3FD\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F3CC U+1F3FD U+200D U+2642 U+FE0F	man golfing: medium skin tone
1968.png	man golfing: medium-dark skin tone	🏌🏾‍♂️️	\U0001F3CC\U0001F3FE\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F3CC U+1F3FE U+200D U+2642 U+FE0F	man golfing: medium-dark skin tone
1969.png	man golfing: dark skin tone	🏌🏿‍♂️️	\U0001F3CC\U0001F3FF\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F3CC U+1F3FF U+200D U+2642 U+FE0F	man golfing: dark skin tone
1970.png	woman golfing: light skin tone	🏌🏻‍♀️️	\U0001F3CC\U0001F3FB\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F3CC U+1F3FB U+200D U+2640 U+FE0F	woman golfing: light skin tone
1971.png	woman golfing: medium-light skin tone	🏌🏼‍♀️️	\U0001F3CC\U0001F3FC\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F3CC U+1F3FC U+200D U+2640 U+FE0F	woman golfing: medium-light skin tone
1972.png	woman golfing: medium skin tone	🏌🏽‍♀️️	\U0001F3CC\U0001F3FD\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F3CC U+1F3FD U+200D U+2640 U+FE0F	woman golfing: medium skin tone
1973.png	woman golfing: medium-dark skin tone	🏌🏾‍♀️️	\U0001F3CC\U0001F3FE\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F3CC U+1F3FE U+200D U+2640 U+FE0F	woman golfing: medium-dark skin tone
1974.png	woman golfing: dark skin tone	🏌🏿‍♀️️	\U0001F3CC\U0001F3FF\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F3CC U+1F3FF U+200D U+2640 U+FE0F	woman golfing: dark skin tone
1975.png	person surfing: light skin tone	🏄🏻️	\U0001F3C4\U0001F3FB\U0000FE0F	U+1F3C4 U+1F3FB	person surfing: light skin tone
1976.png	person surfing: medium-light skin tone	🏄🏼️	\U0001F3C4\U0001F3FC\U0000FE0F	U+1F3C4 U+1F3FC	person surfing: medium-light skin tone
1977.png	person surfing: medium skin tone	🏄🏽️	\U0001F3C4\U0001F3FD\U0000FE0F	U+1F3C4 U+1F3FD	person surfing: medium skin tone
1978.png	person surfing: medium-dark skin tone	🏄🏾️	\U0001F3C4\U0001F3FE\U0000FE0F	U+1F3C4 U+1F3FE	person surfing: medium-dark skin tone
1979.png	person surfing: dark skin tone	🏄🏿️	\U0001F3C4\U0001F3FF\U0000FE0F	U+1F3C4 U+1F3FF	person surfing: dark skin tone
1980.png	man surfing: light skin tone	🏄🏻‍♂️️	\U0001F3C4\U0001F3FB\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F3C4 U+1F3FB U+200D U+2642 U+FE0F	man surfing: light skin tone
1981.png	man surfing: medium-light skin tone	🏄🏼‍♂️️	\U0001F3C4\U0001F3FC\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F3C4 U+1F3FC U+200D U+2642 U+FE0F	man surfing: medium-light skin tone
1982.png	man surfing: medium skin tone	🏄🏽‍♂️️	\U0001F3C4\U0001F3FD\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F3C4 U+1F3FD U+200D U+2642 U+FE0F	man surfing: medium skin tone
1983.png	man surfing: medium-dark skin tone	🏄🏾‍♂️️	\U0001F3C4\U0001F3FE\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F3C4 U+1F3FE U+200D U+2642 U+FE0F	man surfing: medium-dark skin tone
1984.png	man surfing: dark skin tone	🏄🏿‍♂️️	\U0001F3C4\U0001F3FF\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F3C4 U+1F3FF U+200D U+2642 U+FE0F	man surfing: dark skin tone
1985.png	woman surfing: light skin tone	🏄🏻‍♀️️	\U0001F3C4\U0001F3FB\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F3C4 U+1F3FB U+200D U+2640 U+FE0F	woman surfing: light skin tone
1986.png	woman surfing: medium-light skin tone	🏄🏼‍♀️️	\U0001F3C4\U0001F3FC\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F3C4 U+1F3FC U+200D U+2640 U+FE0F	woman surfing: medium-light skin tone
1987.png	woman surfing: medium skin tone	🏄🏽‍♀️️	\U0001F3C4\U0001F3FD\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F3C4 U+1F3FD U+200D U+2640 U+FE0F	woman surfing: medium skin tone
1988.png	woman surfing: medium-dark skin tone	🏄🏾‍♀️️	\U0001F3C4\U0001F3FE\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F3C4 U+1F3FE U+200D U+2640 U+FE0F	woman surfing: medium-dark skin tone
1989.png	woman surfing: dark skin tone	🏄🏿‍♀️️	\U0001F3C4\U0001F3FF\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F3C4 U+1F3FF U+200D U+2640 U+FE0F	woman surfing: dark skin tone
1990.png	person rowing boat: light skin tone	🚣🏻️	\U0001F6A3\U0001F3FB\U0000FE0F	U+1F6A3 U+1F3FB	person rowing boat: light skin tone
1991.png	person rowing boat: medium-light skin tone	🚣🏼️	\U0001F6A3\U0001F3FC\U0000FE0F	U+1F6A3 U+1F3FC	person rowing boat: medium-light skin tone
1992.png	person rowing boat: medium skin tone	🚣🏽️	\U0001F6A3\U0001F3FD\U0000FE0F	U+1F6A3 U+1F3FD	person rowing boat: medium skin tone
1993.png	person rowing boat: medium-dark skin tone	🚣🏾️	\U0001F6A3\U0001F3FE\U0000FE0F	U+1F6A3 U+1F3FE	person rowing boat: medium-dark skin tone
1994.png	person rowing boat: dark skin tone	🚣🏿️	\U0001F6A3\U0001F3FF\U0000FE0F	U+1F6A3 U+1F3FF	person rowing boat: dark skin tone
1995.png	man rowing boat: light skin tone	🚣🏻‍♂️️	\U0001F6A3\U0001F3FB\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F6A3 U+1F3FB U+200D U+2642 U+FE0F	man rowing boat: light skin tone
1996.png	man rowing boat: medium-light skin tone	🚣🏼‍♂️️	\U0001F6A3\U0001F3FC\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F6A3 U+1F3FC U+200D U+2642 U+FE0F	man rowing boat: medium-light skin tone
1997.png	man rowing boat: medium skin tone	🚣🏽‍♂️️	\U0001F6A3\U0001F3FD\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F6A3 U+1F3FD U+200D U+2642 U+FE0F	man rowing boat: medium skin tone
1998.png	man rowing boat: medium-dark skin tone	🚣🏾‍♂️️	\U0001F6A3\U0001F3FE\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F6A3 U+1F3FE U+200D U+2642 U+FE0F	man rowing boat: medium-dark skin tone
1999.png	man rowing boat: dark skin tone	🚣🏿‍♂️️	\U0001F6A3\U0001F3FF\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F6A3 U+1F3FF U+200D U+2642 U+FE0F	man rowing boat: dark skin tone
2000.png	woman rowing boat: light skin tone	🚣🏻‍♀️️	\U0001F6A3\U0001F3FB\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F6A3 U+1F3FB U+200D U+2640 U+FE0F	woman rowing boat: light skin tone
2001.png	woman rowing boat: medium-light skin tone	🚣🏼‍♀️️	\U0001F6A3\U0001F3FC\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F6A3 U+1F3FC U+200D U+2640 U+FE0F	woman rowing boat: medium-light skin tone
2002.png	woman rowing boat: medium skin tone	🚣🏽‍♀️️	\U0001F6A3\U0001F3FD\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F6A3 U+1F3FD U+200D U+2640 U+FE0F	woman rowing boat: medium skin tone
2003.png	woman rowing boat: medium-dark skin tone	🚣🏾‍♀️️	\U0001F6A3\U0001F3FE\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F6A3 U+1F3FE U+200D U+2640 U+FE0F	woman rowing boat: medium-dark skin tone
2004.png	woman rowing boat: dark skin tone	🚣🏿‍♀️️	\U0001F6A3\U0001F3FF\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F6A3 U+1F3FF U+200D U+2640 U+FE0F	woman rowing boat: dark skin tone
2005.png	person swimming: light skin tone	🏊🏻️	\U0001F3CA\U0001F3FB\U0000FE0F	U+1F3CA U+1F3FB	person swimming: light skin tone
2006.png	person swimming: medium-light skin tone	🏊🏼️	\U0001F3CA\U0001F3FC\U0000FE0F	U+1F3CA U+1F3FC	person swimming: medium-light skin tone
2007.png	person swimming: medium skin tone	🏊🏽️	\U0001F3CA\U0001F3FD\U0000FE0F	U+1F3CA U+1F3FD	person swimming: medium skin tone
2008.png	person swimming: medium-dark skin tone	🏊🏾️	\U0001F3CA\U0001F3FE\U0000FE0F	U+1F3CA U+1F3FE	person swimming: medium-dark skin tone
2009.png	person swimming: dark skin tone	🏊🏿️	\U0001F3CA\U0001F3FF\U0000FE0F	U+1F3CA U+1F3FF	person swimming: dark skin tone
2010.png	man swimming: light skin tone	🏊🏻‍♂️️	\U0001F3CA\U0001F3FB\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F3CA U+1F3FB U+200D U+2642 U+FE0F	man swimming: light skin tone
2011.png	man swimming: medium-light skin tone	🏊🏼‍♂️️	\U0001F3CA\U0001F3FC\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F3CA U+1F3FC U+200D U+2642 U+FE0F	man swimming: medium-light skin tone
2012.png	man swimming: medium skin tone	🏊🏽‍♂️️	\U0001F3CA\U0001F3FD\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F3CA U+1F3FD U+200D U+2642 U+FE0F	man swimming: medium skin tone
2013.png	man swimming: medium-dark skin tone	🏊🏾‍♂️️	\U0001F3CA\U0001F3FE\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F3CA U+1F3FE U+200D U+2642 U+FE0F	man swimming: medium-dark skin tone
2014.png	man swimming: dark skin tone	🏊🏿‍♂️️	\U0001F3CA\U0001F3FF\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F3CA U+1F3FF U+200D U+2642 U+FE0F	man swimming: dark skin tone
2015.png	woman swimming: light skin tone	🏊🏻‍♀️️	\U0001F3CA\U0001F3FB\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F3CA U+1F3FB U+200D U+2640 U+FE0F	woman swimming: light skin tone
2016.png	woman swimming: medium-light skin tone	🏊🏼‍♀️️	\U0001F3CA\U0001F3FC\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F3CA U+1F3FC U+200D U+2640 U+FE0F	woman swimming: medium-light skin tone
2017.png	woman swimming: medium skin tone	🏊🏽‍♀️️	\U0001F3CA\U0001F3FD\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F3CA U+1F3FD U+200D U+2640 U+FE0F	woman swimming: medium skin tone
2018.png	woman swimming: medium-dark skin tone	🏊🏾‍♀️️	\U0001F3CA\U0001F3FE\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F3CA U+1F3FE U+200D U+2640 U+FE0F	woman swimming: medium-dark skin tone
2019.png	woman swimming: dark skin tone	🏊🏿‍♀️️	\U0001F3CA\U0001F3FF\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F3CA U+1F3FF U+200D U+2640 U+FE0F	woman swimming: dark skin tone
2020.png	person bouncing ball: light skin tone	⛹🏻️	\U000026F9\U0001F3FB\U0000FE0F	U+26F9 U+1F3FB	person bouncing ball: light skin tone
2021.png	person bouncing ball: medium-light skin tone	⛹🏼️	\U000026F9\U0001F3FC\U0000FE0F	U+26F9 U+1F3FC	person bouncing ball: medium-light skin tone
2022.png	person bouncing ball: medium skin tone	⛹🏽️	\U000026F9\U0001F3FD\U0000FE0F	U+26F9 U+1F3FD	person bouncing ball: medium skin tone
2023.png	person bouncing ball: medium-dark skin tone	⛹🏾️	\U000026F9\U0001F3FE\U0000FE0F	U+26F9 U+1F3FE	person bouncing ball: medium-dark skin tone
2024.png	person bouncing ball: dark skin tone	⛹🏿️	\U000026F9\U0001F3FF\U0000FE0F	U+26F9 U+1F3FF	person bouncing ball: dark skin tone
2025.png	man bouncing ball: light skin tone	⛹🏻‍♂️️	\U000026F9\U0001F3FB\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+26F9 U+1F3FB U+200D U+2642 U+FE0F	man bouncing ball: light skin tone
2026.png	man bouncing ball: medium-light skin tone	⛹🏼‍♂️️	\U000026F9\U0001F3FC\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+26F9 U+1F3FC U+200D U+2642 U+FE0F	man bouncing ball: medium-light skin tone
2027.png	man bouncing ball: medium skin tone	⛹🏽‍♂️️	\U000026F9\U0001F3FD\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+26F9 U+1F3FD U+200D U+2642 U+FE0F	man bouncing ball: medium skin tone
2028.png	man bouncing ball: medium-dark skin tone	⛹🏾‍♂️️	\U000026F9\U0001F3FE\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+26F9 U+1F3FE U+200D U+2642 U+FE0F	man bouncing ball: medium-dark skin tone
2029.png	man bouncing ball: dark skin tone	⛹🏿‍♂️️	\U000026F9\U0001F3FF\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+26F9 U+1F3FF U+200D U+2642 U+FE0F	man bouncing ball: dark skin tone
2030.png	woman bouncing ball: light skin tone	⛹🏻‍♀️️	\U000026F9\U0001F3FB\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+26F9 U+1F3FB U+200D U+2640 U+FE0F	woman bouncing ball: light skin tone
2031.png	woman bouncing ball: medium-light skin tone	⛹🏼‍♀️️	\U000026F9\U0001F3FC\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+26F9 U+1F3FC U+200D U+2640 U+FE0F	woman bouncing ball: medium-light skin tone
2032.png	woman bouncing ball: medium skin tone	⛹🏽‍♀️️	\U000026F9\U0001F3FD\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+26F9 U+1F3FD U+200D U+2640 U+FE0F	woman bouncing ball: medium skin tone
2033.png	woman bouncing ball: medium-dark skin tone	⛹🏾‍♀️️	\U000026F9\U0001F3FE\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+26F9 U+1F3FE U+200D U+2640 U+FE0F	woman bouncing ball: medium-dark skin tone
2034.png	woman bouncing ball: dark skin tone	⛹🏿‍♀️️	\U000026F9\U0001F3FF\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+26F9 U+1F3FF U+200D U+2640 U+FE0F	woman bouncing ball: dark skin tone
2035.png	person lifting weights: light skin tone	🏋🏻️	\U0001F3CB\U0001F3FB\U0000FE0F	U+1F3CB U+1F3FB	person lifting weights: light skin tone
2036.png	person lifting weights: medium-light skin tone	🏋🏼️	\U0001F3CB\U0001F3FC\U0000FE0F	U+1F3CB U+1F3FC	person lifting weights: medium-light skin tone
2037.png	person lifting weights: medium skin tone	🏋🏽️	\U0001F3CB\U0001F3FD\U0000FE0F	U+1F3CB U+1F3FD	person lifting weights: medium skin tone
2038.png	person lifting weights: medium-dark skin tone	🏋🏾️	\U0001F3CB\U0001F3FE\U0000FE0F	U+1F3CB U+1F3FE	person lifting weights: medium-dark skin tone
2039.png	person lifting weights: dark skin tone	🏋🏿️	\U0001F3CB\U0001F3FF\U0000FE0F	U+1F3CB U+1F3FF	person lifting weights: dark skin tone
2040.png	man lifting weights: light skin tone	🏋🏻‍♂️️	\U0001F3CB\U0001F3FB\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F3CB U+1F3FB U+200D U+2642 U+FE0F	man lifting weights: light skin tone
2041.png	man lifting weights: medium-light skin tone	🏋🏼‍♂️️	\U0001F3CB\U0001F3FC\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F3CB U+1F3FC U+200D U+2642 U+FE0F	man lifting weights: medium-light skin tone
2042.png	man lifting weights: medium skin tone	🏋🏽‍♂️️	\U0001F3CB\U0001F3FD\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F3CB U+1F3FD U+200D U+2642 U+FE0F	man lifting weights: medium skin tone
2043.png	man lifting weights: medium-dark skin tone	🏋🏾‍♂️️	\U0001F3CB\U0001F3FE\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F3CB U+1F3FE U+200D U+2642 U+FE0F	man lifting weights: medium-dark skin tone
2044.png	man lifting weights: dark skin tone	🏋🏿‍♂️️	\U0001F3CB\U0001F3FF\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F3CB U+1F3FF U+200D U+2642 U+FE0F	man lifting weights: dark skin tone
2045.png	woman lifting weights: light skin tone	🏋🏻‍♀️️	\U0001F3CB\U0001F3FB\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F3CB U+1F3FB U+200D U+2640 U+FE0F	woman lifting weights: light skin tone
2046.png	woman lifting weights: medium-light skin tone	🏋🏼‍♀️️	\U0001F3CB\U0001F3FC\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F3CB U+1F3FC U+200D U+2640 U+FE0F	woman lifting weights: medium-light skin tone
2047.png	woman lifting weights: medium skin tone	🏋🏽‍♀️️	\U0001F3CB\U0001F3FD\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F3CB U+1F3FD U+200D U+2640 U+FE0F	woman lifting weights: medium skin tone
2048.png	woman lifting weights: medium-dark skin tone	🏋🏾‍♀️️	\U0001F3CB\U0001F3FE\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F3CB U+1F3FE U+200D U+2640 U+FE0F	woman lifting weights: medium-dark skin tone
2049.png	woman lifting weights: dark skin tone	🏋🏿‍♀️️	\U0001F3CB\U0001F3FF\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F3CB U+1F3FF U+200D U+2640 U+FE0F	woman lifting weights: dark skin tone
2050.png	person biking: light skin tone	🚴🏻️	\U0001F6B4\U0001F3FB\U0000FE0F	U+1F6B4 U+1F3FB	person biking: light skin tone
2051.png	person biking: medium-light skin tone	🚴🏼️	\U0001F6B4\U0001F3FC\U0000FE0F	U+1F6B4 U+1F3FC	person biking: medium-light skin tone
2052.png	person biking: medium skin tone	🚴🏽️	\U0001F6B4\U0001F3FD\U0000FE0F	U+1F6B4 U+1F3FD	person biking: medium skin tone
2053.png	person biking: medium-dark skin tone	🚴🏾️	\U0001F6B4\U0001F3FE\U0000FE0F	U+1F6B4 U+1F3FE	person biking: medium-dark skin tone
2054.png	person biking: dark skin tone	🚴🏿️	\U0001F6B4\U0001F3FF\U0000FE0F	U+1F6B4 U+1F3FF	person biking: dark skin tone
2055.png	man biking: light skin tone	🚴🏻‍♂️️	\U0001F6B4\U0001F3FB\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F6B4 U+1F3FB U+200D U+2642 U+FE0F	man biking: light skin tone
2056.png	man biking: medium-light skin tone	🚴🏼‍♂️️	\U0001F6B4\U0001F3FC\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F6B4 U+1F3FC U+200D U+2642 U+FE0F	man biking: medium-light skin tone
2057.png	man biking: medium skin tone	🚴🏽‍♂️️	\U0001F6B4\U0001F3FD\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F6B4 U+1F3FD U+200D U+2642 U+FE0F	man biking: medium skin tone
2058.png	man biking: medium-dark skin tone	🚴🏾‍♂️️	\U0001F6B4\U0001F3FE\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F6B4 U+1F3FE U+200D U+2642 U+FE0F	man biking: medium-dark skin tone
2059.png	man biking: dark skin tone	🚴🏿‍♂️️	\U0001F6B4\U0001F3FF\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F6B4 U+1F3FF U+200D U+2642 U+FE0F	man biking: dark skin tone
2060.png	woman biking: light skin tone	🚴🏻‍♀️️	\U0001F6B4\U0001F3FB\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F6B4 U+1F3FB U+200D U+2640 U+FE0F	woman biking: light skin tone
2061.png	woman biking: medium-light skin tone	🚴🏼‍♀️️	\U0001F6B4\U0001F3FC\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F6B4 U+1F3FC U+200D U+2640 U+FE0F	woman biking: medium-light skin tone
2062.png	woman biking: medium skin tone	🚴🏽‍♀️️	\U0001F6B4\U0001F3FD\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F6B4 U+1F3FD U+200D U+2640 U+FE0F	woman biking: medium skin tone
2063.png	woman biking: medium-dark skin tone	🚴🏾‍♀️️	\U0001F6B4\U0001F3FE\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F6B4 U+1F3FE U+200D U+2640 U+FE0F	woman biking: medium-dark skin tone
